# General
E 1.0.1 "Fehler"
E 1.0.2 "Warnung"
#
# 1.1 Xtt Navigator
E 1.1.1 "Hilfe"
E 1.1.2 "Hilfeklasse"
E 1.1.3 "Graph"
E 1.1.4 "Tendenz"
E 1.1.5 "Öffne Objekt"
E 1.1.6 "Öffne Objekt..."
E 1.1.7 "RtNavigator"
E 1.1.8 "Objekt Graph"
E 1.1.9 "Verweise"
E 1.1.10 "Datenblatt"
E 1.1.11 "Sammeln"
E 1.1.12 "Diagrammtyp..."
E 1.1.13 "Öffne Plc..."
E 1.1.14 "Öffne Plc"
E 1.1.15 "Notiz"
E 1.1.16 "Foto"
E 1.1.17 "Schnell"
E 1.1.18 "Tendenz"
E 1.1.19 "Stromlaufplan"
E 1.1.20 "Blocke Ereignisse..."
E 1.1.21 "Verlaufsliste..."
E 1.1.22 "Alarmliste"
E 1.1.23 "Ereignisliste"
E 1.1.24 "Programmverlauf"
E 1.1.25 "Verknüpfung"
E 1.1.26 "BezugsClient"
E 1.1.27 "BezugsServer"
E 1.1.28 "NetzBearbeitungsprogramm"
E 1.1.29 "Kommunikation"
E 1.1.30 "Gerät"
E 1.1.31 "PlcPfad"
E 1.1.32 "PlcProgramm"
E 1.1.33 "Protokollieren"
E 1.1.34 "1. Protokolleintrag"
E 1.1.35 "2. Protokolleintrag"
E 1.1.36 "3. Protokolleintrag"
E 1.1.37 "4. Protokolleintrag"
E 1.1.38 "5. Protokolleintrag"
E 1.1.39 "6. Protokolleintrag"
E 1.1.40 "7. Protokolleintrag"
E 1.1.41 "8. Protokolleintrag"
E 1.1.42 "9. Protokolleintrag"
E 1.1.43 "10.Protokolleintrag"
E 1.1.44 "Systemmitteilungen"
E 1.1.45 "Datenträger"
E 1.1.46 "Datenträger"
E 1.1.47 "Knotenpunkt"
E 1.1.48 "Datenbank"
E 1.1.49 "Alarm"
E 1.1.50 "Speichern"
E 1.1.51 "System"
E 1.1.52 "Beenden"
E 1.1.53 "Schliessen"
E 1.1.54 "Wert >"
#
# Logging entry
E 1.2.1 "Aktiv"
E 1.2.2 "Eingeben"
E 1.2.3 "Start"
E 1.2.4 "Stop"
E 1.2.5 "Wiederherstellen"
E 1.2.6 "Datei anzeigen"
